,Id,Date,Price,Size,Symbol
1595361602,18001,1595361602,26720.0,2,MYM
1595361603,18001,1595361603,26716.0,1,MYM
1595361604,18001,1595361604,26719.0,1,MYM
1595361605,18001,1595361605,26720.0,3,MYM
1595361606,18001,1595361606,26724.0,2,MYM
1595361607,18001,1595361607,26723.0,4,MYM
1595361608,18001,1595361608,26725.0,1,MYM
1595361609,18001,1595361609,26723.0,3,MYM
1595361610,18001,1595361610,26725.0,1,MYM
1595361614,18001,1595361614,26728.0,3,MYM
1595361615,18001,1595361615,26725.0,1,MYM
1595361616,18001,1595361616,26722.0,1,MYM
1595361619,18001,1595361619,26720.0,1,MYM
1595361620,18001,1595361620,26721.0,1,MYM
1595361623,18001,1595361623,26721.0,1,MYM
1595361625,18001,1595361625,26722.0,2,MYM
1595361627,18001,1595361627,26723.0,1,MYM
1595361630,18001,1595361630,26728.0,2,MYM
1595361631,18001,1595361631,26732.0,1,MYM
1595361632,18001,1595361632,26730.0,1,MYM
1595361633,18001,1595361633,26732.0,2,MYM
1595361634,18001,1595361634,26732.0,1,MYM
1595361635,18001,1595361635,26732.0,1,MYM
1595361636,18001,1595361636,26735.0,2,MYM
1595361637,18001,1595361637,26733.0,1,MYM
1595361638,18001,1595361638,26732.0,2,MYM
1595361639,18001,1595361639,26732.0,1,MYM
1595361640,18001,1595361640,26732.0,1,MYM
1595361641,18001,1595361641,26733.0,1,MYM
1595361643,18001,1595361643,26731.0,1,MYM
1595361645,18001,1595361645,26729.0,2,MYM
1595361646,18001,1595361646,26729.0,1,MYM
1595361647,18001,1595361647,26729.0,1,MYM
1595361649,18001,1595361649,26734.0,3,MYM
1595361650,18001,1595361650,26734.0,1,MYM
1595361652,18001,1595361652,26733.0,1,MYM
1595361653,18001,1595361653,26736.0,5,MYM
1595361656,18001,1595361656,26733.0,1,MYM
1595361658,18001,1595361658,26732.0,1,MYM
1595361660,18001,1595361660,26736.0,1,MYM
1595361662,18001,1595361662,26730.0,5,MYM
1595361663,18001,1595361663,26730.0,1,MYM
1595361664,18001,1595361664,26736.0,3,MYM
1595361665,18001,1595361665,26736.0,2,MYM
1595361666,18001,1595361666,26741.0,1,MYM
1595361667,18001,1595361667,26742.0,2,MYM
1595361668,18001,1595361668,26741.0,1,MYM
1595361669,18001,1595361669,26745.0,3,MYM
1595361670,18001,1595361670,26739.0,1,MYM
1595361672,18001,1595361672,26741.0,1,MYM
1595361676,18001,1595361676,26742.0,2,MYM
1595361678,18001,1595361678,26747.0,1,MYM
1595361679,18001,1595361679,26742.0,1,MYM
1595361680,18001,1595361680,26742.0,1,MYM
1595361681,18001,1595361681,26739.0,1,MYM
1595361683,18001,1595361683,26742.0,1,MYM
1595361685,18001,1595361685,26742.0,1,MYM
1595361686,18001,1595361686,26740.0,1,MYM
1595361687,18001,1595361687,26738.0,1,MYM
1595361688,18001,1595361688,26736.0,1,MYM
1595361690,18001,1595361690,26740.0,3,MYM
1595361691,18001,1595361691,26740.0,2,MYM
1595361693,18001,1595361693,26739.0,2,MYM
